concept_id,theme,en_title,ja_article,verification_status,verdict,verdict_internal,verdict_definition,confidence,confidence_meaning,judgment_id,supersedes,judged_at,en_revid,ja_revid,en_body_chars,ja_body_chars,en_sections,ja_sections,en_footnote_ref_domains,ja_footnote_ref_domains,comparison_valid,ja_relation,eligibility_criterion,eligibility_status,evidence_run_id,calc_version,scope,permalink,source_license
right-to-disconnect,くらし・権利,Right to disconnect,つながらない権利,未確認,未検証,,人手確認をしていない,,,,,,1367908803,106898913,14675,2208,10,2,27,8,True,同一概念として比較,c,pending,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#right-to-disconnect,Wikipedia由来のデータは CC BY-SA 4.0
planned-obsolescence,くらし・権利,Planned obsolescence,計画的陳腐化,未確認,未検証,,人手確認をしていない,,,,,,1370762595,110842247,19888,11486,6,6,46,39,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#planned-obsolescence,Wikipedia由来のデータは CC BY-SA 4.0
cooling-off-period,くらし・権利,Cooling-off period (consumer rights),クーリングオフ,未確認,未検証,,人手確認をしていない,,,,,,1370759083,108782347,2410,1464,3,3,5,0,True,同一概念として比較,b,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#cooling-off-period,Wikipedia由来のデータは CC BY-SA 4.0
ultra-processed-food,食,Ultra-processed food,超加工食品,未確認,未検証,,人手確認をしていない,,,,,,1373497632,109973895,19758,7145,7,8,27,13,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#ultra-processed-food,Wikipedia由来のデータは CC BY-SA 4.0
food-desert,食,Food desert,食の砂漠,人手確認済み,論点に差がある,薄い,独立した記事はある。その上で、英語版で扱われている論点のうち、日本語版の記事では確認できないものを人手で特定した。文字数が少ないことだけを理由にはしていない。英語版が正しい基準だという意味ではない。,探索済み・断定保留,示した範囲は確認した。範囲外の記事に記述が残っている可能性がある。,j-0020,,2026-09-09,1373359321,105269775,31200,2118,9,1,28,1,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#food-desert,Wikipedia由来のデータは CC BY-SA 4.0
food-fortification,食,Food fortification,,未確認,未検証,,人手確認をしていない,,,,,,1353831254,,13391,,5,,25,,True,人手選定待ち,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#food-fortification,Wikipedia由来のデータは CC BY-SA 4.0
satiety-value,食,Satiety value,,未確認,未検証,,人手確認をしていない,,,,,,1372166885,,970,,1,,5,,True,人手選定待ち,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#satiety-value,Wikipedia由来のデータは CC BY-SA 4.0
cross-contamination,食,Contamination,コンタミネーション,未確認,未検証,,人手確認をしていない,,,,,,1356252051,108486013,6398,5827,1,3,16,0,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#cross-contamination,Wikipedia由来のデータは CC BY-SA 4.0
acrylamide,食,Acrylamide,アクリルアミド,未確認,未検証,,人手確認をしていない,,,,,,1368855534,109920544,6316,3710,5,5,15,17,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#acrylamide,Wikipedia由来のデータは CC BY-SA 4.0
added-sugar,食,Added sugar,,未確認,未検証,,人手確認をしていない,,,,,,1351451869,,3497,,2,,9,,True,未選定,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#added-sugar,Wikipedia由来のデータは CC BY-SA 4.0
indoor-air-quality,住まい,Indoor air quality,空気質,人手確認済み,論点に差がある,薄い,独立した記事はある。その上で、英語版で扱われている論点のうち、日本語版の記事では確認できないものを人手で特定した。文字数が少ないことだけを理由にはしていない。英語版が正しい基準だという意味ではない。,探索済み・断定保留,示した範囲は確認した。範囲外の記事に記述が残っている可能性がある。,j-0012,,2026-09-09,1373560095,102875434,31699,1102,7,3,45,6,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#indoor-air-quality,Wikipedia由来のデータは CC BY-SA 4.0
thermal-bridge,住まい,Thermal bridge,熱橋,人手確認済み,論点に差がある,薄い,独立した記事はある。その上で、英語版で扱われている論点のうち、日本語版の記事では確認できないものを人手で特定した。文字数が少ないことだけを理由にはしていない。英語版が正しい基準だという意味ではない。,根拠を引用できる,本文を通読し、判断の根拠を具体的に示せる。,j-0026,,2026-09-14,1347462565,106334958,9557,561,6,1,5,1,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#thermal-bridge,Wikipedia由来のデータは CC BY-SA 4.0
damp-structural,住まい,Damp (structural),雨漏り,未確認,未検証,,人手確認をしていない,,,,,,1373748412,108495211,35794,1054,9,2,34,9,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#damp-structural,Wikipedia由来のデータは CC BY-SA 4.0
sick-building-syndrome,住まい,Sick building syndrome,シックハウス症候群,未確認,未検証,,人手確認をしていない,,,,,,1373713648,108731572,18003,4207,7,4,13,15,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#sick-building-syndrome,Wikipedia由来のデータは CC BY-SA 4.0
passive-house,住まい,Passive house,パッシブハウス,未確認,未検証,,人手確認をしていない,,,,,,1370673992,101704991,7104,927,6,4,28,0,True,同一概念として比較,b,pending,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#passive-house,Wikipedia由来のデータは CC BY-SA 4.0
thermal-comfort,住まい,Thermal comfort,快適性評価,人手確認済み,論点に差がある,薄い,独立した記事はある。その上で、英語版で扱われている論点のうち、日本語版の記事では確認できないものを人手で特定した。文字数が少ないことだけを理由にはしていない。英語版が正しい基準だという意味ではない。,根拠を引用できる,本文を通読し、判断の根拠を具体的に示せる。,j-0009,,2026-09-09,1368891851,92542712,35062,114,6,0,17,0,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#thermal-comfort,Wikipedia由来のデータは CC BY-SA 4.0
mould-health,住まい,Mold and human health,,未確認,未検証,,人手確認をしていない,,,,,,1373726377,,16040,,4,,22,,True,人手選定待ち,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#mould-health,Wikipedia由来のデータは CC BY-SA 4.0
parental-burnout,育児,Parenting stress,,人手確認済み,確認できず,欠落,独立した記事も、上位・隣接記事の中の実質的な説明も、下記の探索範囲では確認できなかった。「日本語に情報が存在しない」という意味ではない。,探索済み・断定保留,示した範囲は確認した。範囲外の記事に記述が残っている可能性がある。,j-0016,j-0006,2026-09-09,1371149313,,6852,,3,,6,,True,未選定,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#parental-burnout,Wikipedia由来のデータは CC BY-SA 4.0
postpartum-depression,育児,Postpartum depression,産後うつ病,人手確認済み,論点に差がある,薄い,独立した記事はある。その上で、英語版で扱われている論点のうち、日本語版の記事では確認できないものを人手で特定した。文字数が少ないことだけを理由にはしていない。英語版が正しい基準だという意味ではない。,根拠を引用できる,本文を通読し、判断の根拠を具体的に示せる。,j-0008,,2026-09-08,1373391668,107909526,57735,2118,15,7,40,12,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#postpartum-depression,Wikipedia由来のデータは CC BY-SA 4.0
screen-time,育児,Screen time,,人手確認済み,確認できず,欠落,独立した記事も、上位・隣接記事の中の実質的な説明も、下記の探索範囲では確認できなかった。「日本語に情報が存在しない」という意味ではない。,探索済み・断定保留,示した範囲は確認した。範囲外の記事に記述が残っている可能性がある。,j-0014,j-0003,2026-09-09,1370383795,,18081,,6,,35,,True,人手選定待ち,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#screen-time,Wikipedia由来のデータは CC BY-SA 4.0
baby-led-weaning,育児,Baby-led weaning,,未確認,未検証,,人手確認をしていない,,,,,,1348372293,,12167,,5,,5,,True,人手選定待ち,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#baby-led-weaning,Wikipedia由来のデータは CC BY-SA 4.0
parenting-styles,育児,Parenting styles,,人手確認済み,別記事の中にある,実質包含,独立した記事は無いが、別の記事の中に概念の定義がある。単独の記事が定義している場合に限る。,根拠を引用できる,本文を通読し、判断の根拠を具体的に示せる。,j-0013,j-0001,2026-09-09,1369278186,,48396,,8,,44,,True,未選定,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#parenting-styles,Wikipedia由来のデータは CC BY-SA 4.0
attachment-parenting,育児,Attachment parenting,,人手確認済み,確認できず,欠落,独立した記事も、上位・隣接記事の中の実質的な説明も、下記の探索範囲では確認できなかった。「日本語に情報が存在しない」という意味ではない。,探索済み・断定保留,示した範囲は確認した。範囲外の記事に記述が残っている可能性がある。,j-0017,j-0007,2026-09-09,1366007657,,40683,,5,,85,,True,未選定,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#attachment-parenting,Wikipedia由来のデータは CC BY-SA 4.0
sids,育児,SIDS,乳幼児突然死症候群,未確認,未検証,,人手確認をしていない,,,,,,1369909761,106683449,15738,4476,6,7,23,12,True,同一概念として比較,a,confirmed,run-20260908T120726Z,1.1.0,Wikipedia日本語版に限定した調査。日本語に情報が存在しないことを意味しない,https://kuhaku.caprer.co.jp/#sids,Wikipedia由来のデータは CC BY-SA 4.0
